system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,water_score,water_feasible,priority_score,cost,efficiency,selected
0,29.823057326743935,0.0095704011647607,0.2975891982048428,-0.3273817184453246,Z1,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,12.950000885885297],[80.13999863029491,13.074998437280817],[80.10000048653322,13.074998426767241],[80.10000048653322,12.950000862307112],[80.13999863029491,12.950000885885297]]]}",chennai_features,chennai,1.0,120.0,0.7825774786461204,0.9866980848754003,0.20894512450911992,0.8473199574576974,0.03826589464458566,0.6296062843058432,0.7024793388429752,True,7.446939567408972,139.31239702203882,0.053454966870111975,True
2,31.295147438302536,0.0114859717785956,0.2279508101111101,-0.2550714255175735,Z3,"{""type"":""Polygon"",""coordinates"":[[[80.21999934834353,12.950000914789047],[80.21999934834353,13.074998375988047],[80.18000120232101,13.074998387197592],[80.18000120232101,12.950000898316649],[80.21999934834353,12.950000914789047]]]}",chennai_features,chennai,1.0,300.0,0.7603450627883162,0.7562132845247027,0.4834998221514874,0.8607754304506933,0.20339456874508235,0.0637874763012193,0.7009966777408637,True,7.3850355992686385,140.2542801315485,0.052654618399823536,True
4,28.702748498340952,-0.1110571837493264,-0.0005305218866603,0.0937642470005971,Z5,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,12.950000861651985],[80.30000008286758,13.074998377330607],[80.26000200905669,13.07499839965535],[80.26000200905669,12.950000841769016],[80.30000008286758,12.950000861651985]]]}",chennai_features,chennai,0.0,400.0,0.7775808720585303,0.0,0.0,0.0,1.0,0.5024417871346628,0.0007481296758104738,False,7.442250552311998,80.0,0.09302813190389998,False
3,31.87388241485627,-0.0207044855240102,0.275460069954301,-0.2915223219283726,Z4,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,12.950000841769016],[80.26000200905669,13.07499839965535],[80.21999934834353,13.074998375988047],[80.21999934834353,12.950000914789047],[80.26000200905669,12.950000841769016]]]}",chennai_features,chennai,1.0,700.0,0.7971311608530973,0.9134564742296172,0.5914377841384344,0.6346611719946866,0.12015485347932091,1.0,0.7004279600570613,False,7.44247848658062,124.42628203962806,0.05981436047578993,False
7,31.535233851822227,-0.0085545236809364,0.2238914303966153,-0.2343891633660067,Z8,"{""type"":""Polygon"",""coordinates"":[[[80.21999934834353,13.074998375988047],[80.21999934834353,13.200000377659006],[80.18000120232101,13.200000359702084],[80.18000120232101,13.074998387197592],[80.21999934834353,13.074998375988047]]]}",chennai_features,chennai,0.0,1000.0,0.77315559569564,0.7427778023337068,0.5282775515543081,0.7200057070719506,0.25062483691588683,0.38981774246240014,0.0002997002997002997,False,7.432988462908426,130.40039949503654,0.05700127063791204,False
8,31.871709016566797,0.0043386292084533,0.2660691970169489,-0.2840566896396148,Z9,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,13.07499839965535],[80.26000200905669,13.200000381226616],[80.21999934834353,13.200000377659006],[80.21999934834353,13.074998375988047],[80.26000200905669,13.07499839965535]]]}",chennai_features,chennai,0.0,1000.0,0.7767837186591673,0.8823751477754347,0.5910324307531103,0.8105706119858139,0.13720346317581564,0.48215409599442627,0.0002997002997002997,False,7.440938998437407,136.73994283900697,0.05441671865548546,False
9,34.06448561010632,0.0072014193950818,0.2258843457865066,-0.2484207491572078,Z10,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,13.074998377330607],[80.30000008286758,13.20000037377777],[80.26000200905669,13.200000381226616],[80.26000200905669,13.07499839965535],[80.30000008286758,13.074998377330607]]]}",chennai_features,chennai,0.0,1000.0,0.7627243101593947,0.7493738295871905,1.0,0.8306796049733797,0.21858213506231455,0.12433973117365708,0.0002997002997002997,False,7.412592707151085,138.14757234813658,0.053657060932428835,False
6,31.47156289332662,0.0106416295850027,0.2176261210037865,-0.2447996167134942,Z7,"{""type"":""Polygon"",""coordinates"":[[[80.18000120232101,13.074998387197592],[80.18000120232101,13.200000359702084],[80.13999863029491,13.200000415667452],[80.13999863029491,13.074998437280817],[80.18000120232101,13.074998387197592]]]}",chennai_features,chennai,0.0,1000.0,0.7578386955916341,0.7220412714622886,0.5164024899523709,0.8548445482891676,0.2268513976383929,0.0,0.0002997002997002997,False,7.376314462642073,139.83911838024173,0.052748576707877,False
1,30.338069860515702,0.020640209588817,0.2664296842894216,-0.298018047412216,Z2,"{""type"":""Polygon"",""coordinates"":[[[80.18000120232101,12.950000898316649],[80.18000120232101,13.074998387197592],[80.13999863029491,13.074998437280817],[80.13999863029491,12.950000885885297],[80.18000120232101,12.950000898316649]]]}",chennai_features,chennai,0.0,900.0,0.7654807585746546,0.883568266101393,0.30499842272877054,0.9250772101591969,0.10532113488908382,0.19449181750669098,0.0003329633740288568,False,7.423368292985635,144.7554047111438,0.05128214941472342,False
5,31.487702877845948,0.0313064934571195,0.3016082221336542,-0.3441384571883999,Z6,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,13.074998437280817],[80.13999863029491,13.200000415667452],[80.10000048653322,13.200000361622186],[80.10000048653322,13.074998426767241],[80.13999863029491,13.074998437280817]]]}",chennai_features,chennai,0.0,1000.0,0.7685679212201126,1.0,0.5194127055192459,1.0,0.0,0.2730606378877792,0.0002997002997002997,False,7.377888187821473,150.0,0.049185921252143154,False
