system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,rainfall,soil_moisture,news_drought_score,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,drought_index,water_score,priority_score,water_feasible,water_ok,trees,risk_level,cost,efficiency,selected
2,29.243043211699046,-0.0056309854639435,0.5,-0.3720385577148008,Z3,"{""type"":""Polygon"",""coordinates"":[[[77.09500113219225,28.40000127050211],[77.14600216572963,28.400001253722756],[77.14600216572963,28.63999893985843],[77.09500113219225,28.639999005659874],[77.04400020351113,28.639998935074438],[77.04400020351113,28.40000120420923],[77.09500113219225,28.40000127050211]]]}",delhi_features,delhi,10,0.35,0.5,1.0,300.0,0.8539416898247605,0.5,0.18852873284987653,0.723911834555755,0.6325401015358924,0.27608816544424575,0.53,0.7009966777408637,1.987650857606908,True,True,0,Medium,130.67382841890284,0.015210780013539276,False
0,31.59110556377584,0.0172320013269675,0.5,-0.4209216769677442,Z1,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.400001273227936],[76.94199828453203,28.400001245107145],[76.94199828453203,28.639998981135705],[76.89099952366062,28.63999893269861],[76.84000075480982,28.639998933689277],[76.84000075480982,28.40000122970283],[76.89099952366062,28.400001273227936]]]}",delhi_features,delhi,10,0.35,0.5,1.0,120.0,0.8379375990711228,0.5,0.48042638525160325,1.0,0.22846809835229215,0.0,0.55,0.7024793388429752,1.4003785799154065,True,True,0,Medium,150.0,0.009335857199436044,False
5,35.770622712629574,-0.0235966677471511,0.5,-0.4228755093177871,Z6,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.63999893269861],[76.94199828453203,28.639998981135705],[76.94199828453203,28.880001142530944],[76.89099952366062,28.88000119998277],[76.84000075480982,28.880001165751548],[76.84000075480982,28.639998933689277],[76.89099952366062,28.63999893269861]]]}",delhi_features,delhi,10,0.35,0.5,0.0,1000.0,0.8665176674230057,0.5,1.0,0.5069623909906293,0.21231755469566513,0.4930376090093704,0.57,0.0002997002997002997,6.249894828865267,False,False,56,Medium,115.48736736934406,0.054117562563161276,True
1,30.331456284179694,0.0086461975113215,0.5,-0.3738171053232341,Z2,"{""type"":""Polygon"",""coordinates"":[[[76.9929992638011,28.400001202262935],[77.04400020351113,28.40000120420923],[77.04400020351113,28.639998935074438],[76.9929992638011,28.63999896259588],[76.94199828453203,28.639998981135705],[76.94199828453203,28.400001245107145],[76.9929992638011,28.400001202262935]]]}",delhi_features,delhi,10,0.35,0.5,0.0,900.0,0.8439476617420749,0.5,0.3238340071836055,0.8963198095680022,0.617838476396581,0.10368019043199728,0.54,0.0003329633740288568,0.0,False,False,0,Medium,142.74238666976015,0.0,False
3,27.726493776487075,-0.0655784543625144,0.5,-0.4485608927739769,Z4,"{""type"":""Polygon"",""coordinates"":[[[77.197000875116,28.4000012022084],[77.24799957081777,28.40000126643822],[77.24799957081777,28.639998953729645],[77.197000875116,28.63999895940277],[77.14600216572963,28.63999893985843],[77.14600216572963,28.400001253722756],[77.197000875116,28.4000012022084]]]}",delhi_features,delhi,10,0.35,0.5,1.0,700.0,0.89590491805376,0.5,0.0,0.0,0.0,1.0,0.52,0.7004279600570613,0.0,False,False,0,Medium,80.0,0.0,False
4,28.006615519477748,-0.0361663435576717,0.5,-0.350283661802224,Z5,"{""type"":""Polygon"",""coordinates"":[[[77.29900055894986,28.400001242195735],[77.35000158492622,28.400001194276776],[77.35000158492622,28.639998935500326],[77.29900055894986,28.63999898298557],[77.24799957081777,28.639998953729645],[77.24799957081777,28.40000126643822],[77.29900055894986,28.400001242195735]]]}",delhi_features,delhi,10,0.35,0.5,0.0,400.0,0.8753164404903703,0.5,0.03482312941704327,0.3551738794329381,0.8123679133610624,0.6448261205670638,0.52,0.0007481296758104738,0.0,False,False,0,Medium,104.86217156030567,0.0,False
6,28.595680017196344,-0.0297848921873058,0.5,-0.4139698959763844,Z7,"{""type"":""Polygon"",""coordinates"":[[[76.9929992638011,28.63999896259588],[77.04400020351113,28.639998935074438],[77.04400020351113,28.88000116345071],[76.9929992638011,28.88000114061013],[76.94199828453203,28.880001142530944],[76.94199828453203,28.639998981135705],[76.9929992638011,28.63999896259588]]]}",delhi_features,delhi,10,0.35,0.5,0.0,1000.0,0.870849424531114,0.5,0.10805225122685318,0.43223481717605006,0.28593210870599495,0.5677651828239497,0.53,0.0002997002997002997,0.0,False,False,0,Medium,110.2564372023235,0.0,False
7,27.866908540340717,0.000956642259891,0.5,-0.3275846339196061,Z8,"{""type"":""Polygon"",""coordinates"":[[[77.09500113219225,28.639999005659874],[77.14600216572963,28.63999893985843],[77.14600216572963,28.88000119595669],[77.09500113219225,28.880001143447885],[77.04400020351113,28.88000116345071],[77.04400020351113,28.639998935074438],[77.09500113219225,28.639999005659874]]]}",delhi_features,delhi,10,0.35,0.5,0.0,1000.0,0.8493303504180763,0.5,0.017455558577977783,0.8034625104817086,1.0,0.19653748951829086,0.52,0.0002997002997002997,0.0,False,False,0,Medium,136.2423757337196,0.0,False
8,27.916734692591035,-0.0315977137931587,0.5,-0.3430683954153141,Z9,"{""type"":""Polygon"",""coordinates"":[[[77.197000875116,28.63999895940277],[77.24799957081777,28.639998953729645],[77.24799957081777,28.880001196125324],[77.197000875116,28.88000119154864],[77.14600216572963,28.88000119595669],[77.14600216572963,28.63999893985843],[77.197000875116,28.63999895940277]]]}",delhi_features,delhi,10,0.35,0.5,0.0,1000.0,0.8721183996552111,0.5,0.02364966021979113,0.41034360077397497,0.872009916306413,0.5896563992260255,0.52,0.0002997002997002997,0.0,False,False,0,Medium,108.72405205417824,0.0,False
9,29.20650226299415,0.0027439688930417,0.5,-0.3386426675951033,Z10,"{""type"":""Polygon"",""coordinates"":[[[77.29900055894986,28.63999898298557],[77.35000158492622,28.639998935500326],[77.35000158492622,28.88000112956735],[77.29900055894986,28.88000118396684],[77.24799957081777,28.880001196125324],[77.24799957081777,28.639998953729645],[77.29900055894986,28.63999898298557]]]}",delhi_features,delhi,10,0.35,0.5,0.0,1000.0,0.8480792217748707,0.5,0.18398617156139235,0.8250458554623558,0.9085933572403767,0.17495414453764271,0.53,0.0002997002997002997,0.0,False,False,0,Medium,137.7532098823649,0.0,False
