system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,rainfall,soil_moisture,news_drought_score,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,drought_index,water_score,priority_score,water_feasible,water_ok,trees,risk_level,cost,efficiency,selected
0,36.0522179016516,0.1019733141772316,0.3137,-0.3751905564959364,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.750000060724965],[75.6800012791375,26.750000077420548],[75.6800012791375,26.925001905275103],[75.64000097463702,26.925001993241022],[75.60000055547691,26.925001934441703],[75.60000055547691,26.75000005037915],[75.64000097463702,26.750000060724965]]]}",jaipur_features,jaipur,0,0.15685,0.5,1.0,120.0,0.7227286800759378,0.17752808988764024,1.0,1.0,0.549378842090382,0.0,0.72,0.7024793388429752,9.999933089190465,True,True,128,High,150.0,0.0666662205946031,True
2,32.41929471050912,0.0410433113625126,0.2821,-0.3295199036829346,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.750000034649915],[75.83999831919462,26.75000007748974],[75.83999831919462,26.92500197632252],[75.80000021058267,26.92500194801138],[75.76000207327802,26.925001994084802],[75.76000207327802,26.750000043347313],[75.80000021058267,26.750000034649915]]]}",jaipur_features,jaipur,0,0.14105,0.5,1.0,300.0,0.7558996820462411,0.0,0.024391690798413274,0.0,1.0,0.45039092217802584,0.71,0.7009966777408637,1.3296569847914472,True,True,0,High,80.0,0.01662071230989309,False
8,32.32846610815204,0.0414821091932356,0.3917,-0.4308703440947052,Z9,"{""type"":""Polygon"",""coordinates"":[[[75.8799987245313,26.925001972130218],[75.91999905286957,26.925001965444704],[75.91999905286957,27.09999940610134],[75.8799987245313,27.09999939144116],[75.83999831919462,27.099999397257065],[75.83999831919462,26.92500197632252],[75.8799987245313,26.925001972130218]]]}",jaipur_features,jaipur,0,0.19585,0.5,0.0,1000.0,0.7884725235647351,0.6157303370786515,0.0,0.007201670941282046,0.0,0.8926601108690126,0.67,0.0002997002997002997,3.170166476204024,False,False,42,High,80.50411696588975,0.03937893608034045,False
7,32.51517601945284,0.0498850695645371,0.3645,-0.3917479657326311,Z8,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.92500194801138],[75.83999831919462,26.92500197632252],[75.83999831919462,27.099999397257065],[75.80000021058267,27.099999394787204],[75.76000207327802,27.09999940169848],[75.76000207327802,26.925001994084802],[75.80000021058267,26.92500194801138]]]}",jaipur_features,jaipur,0,0.18225,0.5,0.0,1000.0,0.7744304513048239,0.46292134831460663,0.05014026757280899,0.1451133726172843,0.3860109359478474,0.7019989460331156,0.68,0.0002997002997002997,3.0473465640845934,False,False,40,High,90.1579360832099,0.03380009233210586,False
6,33.02604915783576,0.0540204662634086,0.3762,-0.392266929858039,Z7,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.925001963559996],[75.76000207327802,26.925001994084802],[75.76000207327802,27.09999940169848],[75.72000166787484,27.09999935374241],[75.6800012791375,27.09999938872015],[75.6800012791375,26.925001905275103],[75.72000166787484,26.925001963559996]]]}",jaipur_features,jaipur,0,0.1881,0.5,0.0,1000.0,0.7750456736156139,0.5286516853932582,0.1873333907220842,0.2129846430560327,0.3808904438878282,0.7103523428991279,0.68,0.0002997002997002997,3.0473465640845934,False,False,40,High,94.90892501392229,0.03210811379053735,False
4,34.39728505450381,0.0744962261916434,0.4423,-0.3965606459997908,Z5,"{""type"":""Polygon"",""coordinates"":[[[75.95999941345487,26.75000006712375],[75.99999973816823,26.750000105897836],[75.99999973816823,26.92500191752381],[75.95999941345487,26.925001975996636],[75.91999905286957,26.925001965444704],[75.91999905286957,26.750000112286052],[75.95999941345487,26.75000006712375]]]}",jaipur_features,jaipur,0,0.22115,0.5,0.0,400.0,0.7805426416658495,0.9000000000000001,0.555573803271003,0.5490384586204138,0.3385253971814982,0.784989356021168,0.67,0.0007481296758104738,3.4901695193050397,False,False,47,High,118.43269210342896,0.029469646069153144,True
5,33.611616749132395,0.0595028036911311,0.4601,-0.4244839772607647,Z6,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.925001993241022],[75.6800012791375,26.925001905275103],[75.6800012791375,27.09999938872015],[75.64000097463702,27.099999417013805],[75.60000055547691,27.099999409163363],[75.60000055547691,26.925001934441703],[75.64000097463702,26.925001993241022]]]}",jaipur_features,jaipur,0,0.23005,0.5,0.0,1000.0,0.7963780374162082,1.0,0.34458543752038184,0.30296227598662107,0.06301271911590832,1.0,0.66,0.0002997002997002997,2.7056690464586195,False,False,36,High,101.20735931906347,0.026733916037951385,False
9,33.082630664986254,0.0636174465045508,0.4121,-0.421053504617674,Z10,"{""type"":""Polygon"",""coordinates"":[[[75.95999941345487,26.925001975996636],[75.99999973816823,26.92500191752381],[75.99999973816823,27.099999382219767],[75.95999941345487,27.09999937315752],[75.91999905286957,27.09999940610134],[75.91999905286957,26.925001965444704],[75.95999941345487,26.925001975996636]]]}",jaipur_features,jaipur,0,0.20605,0.5,0.0,1000.0,0.7790977874468145,0.7303370786516854,0.20252814866735588,0.3704929279370542,0.09686035341481465,0.7653713407225465,0.67,0.0002997002997002997,2.764180313232636,False,False,37,High,105.9345049555938,0.02609329523361005,True
3,33.71291839458371,0.0620801536598883,0.3733,-0.3831895639726036,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.8799987245313,26.750000063605174],[75.91999905286957,26.750000112286052],[75.91999905286957,26.925001965444704],[75.8799987245313,26.925001972130218],[75.83999831919462,26.92500197632252],[75.83999831919462,26.75000007748974],[75.8799987245313,26.750000063605174]]]}",jaipur_features,jaipur,0,0.18665,0.5,1.0,700.0,0.7685338924380782,0.5123595505617978,0.37178962594887865,0.34526245405479916,0.4704545922877317,0.621936348344683,0.69,0.7004279600570613,1.8877933440772616,False,False,0,High,104.16837178383594,0.018122519453358635,False
1,33.60404861233275,0.0604282232882197,0.3119,-0.3708173033935006,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.750000041716017],[75.76000207327802,26.750000043347313],[75.76000207327802,26.925001994084802],[75.72000166787484,26.925001963559996],[75.6800012791375,26.925001905275103],[75.6800012791375,26.750000077420548],[75.72000166787484,26.750000041716017]]]}",jaipur_features,jaipur,0,0.15595,0.5,0.0,900.0,0.7512702436982462,0.16741573033707863,0.34255304190989583,0.31815051748240264,0.5925286605289402,0.38753309808858755,0.71,0.0003329633740288568,0.0,False,False,0,High,102.27053622376819,0.0,False
