system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,tree_category,income_score,income_n,priority_score,water_ok,reason
6,309.6695849079288,0.0110130209072842,0.2220059231418535,-0.2836578433046117,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.975000890432323],[72.5700012861179,23.099998460587155],[72.50999966230029,23.099998482302798],[72.50999966230029,22.9750009566224],[72.5700012861179,22.975000890432323]]]}",ahmedabad_features,0.413057581078612,0.8622101325542386,0.724712090029262,0.428267742859268,Medium,0.05808361216819946,0.9419163878318005,0.7458985755997987,True,"Low tree cover, High temperature, Dense urban area, Low income area"
8,310.246263926735,0.0158517500315998,0.2903919865054048,-0.370657427331804,Z9,"{""type"":""Polygon"",""coordinates"":[[[74.03000019162782,18.519997767177724],[74.03000019162782,18.660000192304736],[73.96000117000168,18.660000136769856],[73.96000117000168,18.519997794356673],[74.03000019162782,18.519997767177724]]]}",pune_features,0.5399913150511209,0.8817459909434522,0.7393563219205798,0.29647771301245124,Medium,0.006952130531190703,0.9930478694688093,0.7383043541011305,True,"Low tree cover, High temperature, Dense urban area, Low income area"
0,309.2022179016516,0.1019733141772316,0.2365908789840818,-0.3751905564959364,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.750000060724965],[75.6800012791375,26.750000077420548],[75.6800012791375,26.925001905275103],[75.64000097463702,26.925001993241022],[75.60000055547691,26.925001934441703],[75.60000055547691,26.75000005037915],[75.64000097463702,26.750000060724965]]]}",jaipur_features,0.4401292213196399,0.8463773809668408,1.0,0.2896107695147242,Medium,0.388677289689482,0.611322710310518,0.7228590439564493,True,"Low tree cover, High temperature, Dense urban area, Low income area"
0,305.7035079599092,0.0496646610074023,0.2514766209689857,-0.3100921668863737,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.76400143465389,18.379999871170828],[73.76400143465389,18.449998826992502],[73.74999982887877,18.449998844662662],[73.74999982887877,18.379999825031273],[73.76400143465389,18.379999871170828]]]}",mumbai_features,0.46775916110796045,0.7278533845358514,0.8416898265513382,0.3882240997456187,Medium,0.03142918568673425,0.9685708143132657,0.7227808246723667,True,"Low tree cover, Dense urban area, Low income area"
2,306.8474230106083,0.0025707528288976,0.2222779999842927,-0.2672741978204459,Z3,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.30000115468713],[78.54000186464977,17.450000834989922],[78.46000108025841,17.450000837772027],[78.46000108025841,17.300001090066623],[78.54000186464977,17.30000115468713]]]}",hyderabad_features,0.413562592302239,0.7666052061055164,0.6991618828876192,0.45308626528672,Medium,0.034388521115218396,0.9656114788847816,0.7202704755171345,True,"Low tree cover, High temperature, Dense urban area, Low income area"
9,307.2144856101063,0.0072014193950818,0.2258843457865066,-0.2484207491572078,Z10,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,13.074998377330607],[80.30000008286758,13.20000037377777],[80.26000200905669,13.200000381226616],[80.26000200905669,13.07499839965535],[80.30000008286758,13.074998377330607]]]}",chennai_features,0.4202564552935554,0.7790399969162076,0.7131764212641944,0.48164613243811893,Medium,0.046450412719997725,0.9535495872800023,0.718204830042803,True,"Low tree cover, High temperature, Dense urban area, Low income area"
9,313.73700411096377,-0.0145954032962732,0.3322199861605199,-0.3794710377982891,Z10,"{""type"":""Polygon"",""coordinates"":[[[80.49999972911418,26.42499849395884],[80.49999972911418,26.550000505234376],[80.43999805042311,26.550000497810995],[80.43999805042311,26.42499850779653],[80.49999972911418,26.42499849395884]]]}",kanpur_features,0.6176297097719725,1.0,0.6472091563511606,0.28312654588418956,Medium,0.11586905952512971,0.8841309404748703,0.7103059940276375,True,"High temperature, Low income area"
0,307.4199244503272,0.0306776426416568,0.2539473941539771,-0.3130664291630464,Z1,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.300001100243428],[78.3800003784321,17.450000768699528],[78.29999966915584,17.45000084831652],[78.29999966915584,17.300001139474084],[78.3800003784321,17.300001100243428]]]}",hyderabad_features,0.47234524854660753,0.785999542797568,0.7842263288582296,0.3837185826377158,Medium,0.12203823484477883,0.8779617651552212,0.7096507552314169,True,"Low tree cover, High temperature, Dense urban area, Low income area"
5,307.8570217285808,0.0932006583071872,0.288564622639955,-0.3890373546710832,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.76400143465389,18.449998826992502],[73.76400143465389,18.519997779493778],[73.74999982887877,18.519997776503974],[73.74999982887877,18.449998844662662],[73.76400143465389,18.449998826992502]]]}",mumbai_features,0.536599481871093,0.8008068623840334,0.973449886620419,0.2686351526173484,Medium,0.24929222914887494,0.7507077708511251,0.7085173929362335,True,"Low tree cover, High temperature, Dense urban area, Low income area"
2,310.1261810367493,0.0426350763336561,0.2547752168333635,-0.3530983311750257,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.379999837076255],[73.96000117000168,18.519997794356673],[73.89000222534351,18.519997814315534],[73.89000222534351,18.379999828449453],[73.96000117000168,18.379999837076255]]]}",pune_features,0.4738817988112869,0.8776780046682016,0.8204150526557124,0.3230768494619042,Medium,0.3180034749718639,0.6819965250281361,0.7044088394814579,True,"Low tree cover, High temperature, Dense urban area, Low income area"
8,307.3566015104365,0.0405515620555434,0.2458187500335314,-0.3170050457394184,Z9,"{""type"":""Polygon"",""coordinates"":[[[73.80600162611299,18.449998851778787],[73.80600162611299,18.519997756013968],[73.79200009178608,18.519997792167175],[73.79200009178608,18.449998810126765],[73.80600162611299,18.449998851778787]]]}",mumbai_features,0.45725739146589445,0.7838543841457869,0.8141093749759624,0.37775222771821415,Medium,0.22879816549162246,0.7712018345083775,0.6973679289729269,True,"Low tree cover, High temperature, Dense urban area, Low income area"
9,306.1035119182399,0.0104087307979169,0.2561506872809024,-0.3098244735729224,Z10,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.449998825719046],[73.81999876329446,18.519997823208755],[73.80600162611299,18.519997756013968],[73.80600162611299,18.449998851778787],[73.81999876329446,18.449998825719046]]]}",mumbai_features,0.4764348570118559,0.7414041128097026,0.722883228717986,0.3886296109921841,Medium,0.07697990982879299,0.923020090171207,0.6965941123415897,True,"Low tree cover, High temperature, Dense urban area, Low income area"
1,306.7540486123327,0.0604282232882197,0.2662626151071874,-0.3708173033935006,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.750000041716017],[75.76000207327802,26.750000043347313],[75.76000207327802,26.925001994084802],[75.72000166787484,26.925001963559996],[75.6800012791375,26.925001905275103],[75.6800012791375,26.750000077420548],[75.72000166787484,26.750000041716017]]]}",jaipur_features,0.49520395547315116,0.7634420096610446,0.8742653433796801,0.29623552713100837,Medium,0.2713490317738959,0.7286509682261041,0.6895457582123878,True,"Low tree cover, High temperature, Dense urban area, Low income area"
2,309.2955598785936,-0.0217143797303198,0.2835976797729529,-0.3358541314513296,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.8299980714329,21.09999798865362],[72.8299980714329,21.224999983338723],[72.77000090351893,21.224999989125063],[72.77000090351893,21.09999801072069],[72.8299980714329,21.09999798865362]]]}",surat_features,0.5273801676785944,0.8495394790904797,0.6256638416516628,0.34919896971893966,Medium,0.1198653673336828,0.8801346326663172,0.6891274252781605,True,"Low tree cover, High temperature, Low income area"
3,310.16415423703387,0.0053594237673841,0.2535584510264436,-0.3148974901795076,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.88999978021023,21.09999796748522],[72.88999978021023,21.224999954425822],[72.8299980714329,21.224999983338723],[72.8299980714329,21.09999798865362],[72.88999978021023,21.09999796748522]]]}",surat_features,0.47162331777515315,0.8789644032350858,0.7076016907054522,0.3809448270076275,Medium,0.33761517140362796,0.662384828596372,0.6787768421005549,True,"Low tree cover, High temperature, Dense urban area, Low income area"
6,307.46469210213974,0.0483974632193977,0.2712161301988069,-0.3500515005458824,Z7,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.450000837772027],[78.46000108025841,17.600000472294163],[78.3800003784321,17.600000481302104],[78.3800003784321,17.450000768699528],[78.46000108025841,17.450000837772027]]]}",hyderabad_features,0.5043983459080239,0.7875161135027725,0.8378547000578027,0.3276922956625146,Medium,0.31171107608941095,0.688288923910589,0.6761262848278229,True,"Low tree cover, High temperature, Dense urban area, Low income area"
