system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,308.32280719060765,-0.011059060495209334,0.3815750630894121,-0.4392132500337003,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.849998955557247],[72.50999966230029,22.9750009566224],[72.4499979166911,22.975000944488663],[72.4499979166911,22.849998953446608],[72.50999966230029,22.849998955557247]]]}"
00000000000000000001,309.02311959521137,0.011627034503988684,0.3388619120726114,-0.4096086169992204,Z2,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.849998904506524],[72.5700012861179,22.975000890432323],[72.50999966230029,22.9750009566224],[72.50999966230029,22.849998955557247],[72.5700012861179,22.849998904506524]]]}"
00000000000000000002,308.4811333765406,0.033829471383234264,0.29674035020328676,-0.3825904476308337,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.84999897218958],[72.62999852068243,22.975000915825813],[72.5700012861179,22.975000890432323],[72.5700012861179,22.849998904506524],[72.62999852068243,22.84999897218958]]]}"
00000000000000000003,309.2158214348365,0.022591700003123036,0.34632018190760366,-0.42713976994489905,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.849998950436937],[72.69000018224327,22.975000917003428],[72.62999852068243,22.975000915825813],[72.62999852068243,22.84999897218958],[72.69000018224327,22.849998950436937]]]}"
00000000000000000004,308.6029440574118,0.0049448653982769025,0.40161871048008974,-0.472118325974771,Z5,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.849998900437992],[72.75000182107684,22.975000953142285],[72.69000018224327,22.975000917003428],[72.69000018224327,22.849998950436937],[72.75000182107684,22.849998900437992]]]}"
00000000000000000005,310.0048958948339,0.0015787481154893065,0.3418101214496919,-0.4088934194261397,Z6,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.9750009566224],[72.50999966230029,23.099998482302798],[72.4499979166911,23.09999840068322],[72.4499979166911,22.975000944488663],[72.50999966230029,22.9750009566224]]]}"
00000000000000000006,309.6695849079288,0.01101302090728425,0.22200592314185352,-0.28365784330461175,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.975000890432323],[72.5700012861179,23.099998460587155],[72.50999966230029,23.099998482302798],[72.50999966230029,22.9750009566224],[72.5700012861179,22.975000890432323]]]}"
00000000000000000007,310.36789493205123,0.016311585752779925,0.2077516715137739,-0.26304393125325826,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.975000915825813],[72.62999852068243,23.099998415558492],[72.5700012861179,23.099998460587155],[72.5700012861179,22.975000890432323],[72.62999852068243,22.975000915825813]]]}"
00000000000000000008,311.0797750483787,0.0393614334151649,0.21692511169564543,-0.2991802751398791,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.975000917003428],[72.69000018224327,23.09999841161949],[72.62999852068243,23.099998415558492],[72.62999852068243,22.975000915825813],[72.69000018224327,22.975000917003428]]]}"
00000000000000000009,310.0453534585503,-6.668109285667232E-4,0.3994858618498547,-0.4730385354085435,Z10,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.975000953142285],[72.75000182107684,23.099998417998364],[72.69000018224327,23.09999841161949],[72.69000018224327,22.975000917003428],[72.75000182107684,22.975000953142285]]]}"
