system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,307.1113173962815,0.0434788132581917,0.2997137090305718,-0.3769664659244645,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.37999981151146],[73.81999876329446,18.519997823208755],[73.74999982887877,18.519997776503974],[73.74999982887877,18.379999825031273],[73.81999876329446,18.37999981151146]]]}"
00000000000000000001,307.5285710063469,0.03452636058576497,0.2670136936460255,-0.3513989143870644,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.89000222534351,18.379999828449453],[73.89000222534351,18.519997814315534],[73.81999876329446,18.519997823208755],[73.81999876329446,18.37999981151146],[73.89000222534351,18.379999828449453]]]}"
00000000000000000002,310.1261810367493,0.042635076333656194,0.25477521683336357,-0.3530983311750257,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.379999837076255],[73.96000117000168,18.519997794356673],[73.89000222534351,18.519997814315534],[73.89000222534351,18.379999828449453],[73.96000117000168,18.379999837076255]]]}"
00000000000000000003,309.88575171439,-0.010368993909991847,0.3302234460312253,-0.4090926212888485,Z4,"{""type"":""Polygon"",""coordinates"":[[[74.03000019162782,18.37999983858856],[74.03000019162782,18.519997767177724],[73.96000117000168,18.519997794356673],[73.96000117000168,18.379999837076255],[74.03000019162782,18.37999983858856]]]}"
00000000000000000004,309.69621497752973,-0.01664966259693098,0.33115800119312,-0.41755760197613495,Z5,"{""type"":""Polygon"",""coordinates"":[[[74.09999912728527,18.379999860445878],[74.09999912728529,18.519997760386637],[74.03000019162782,18.519997767177724],[74.03000019162782,18.37999983858856],[74.09999912728527,18.379999860445878]]]}"
00000000000000000005,308.38288507954366,0.02553214698628465,0.2740626667316491,-0.3336487287432991,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.519997823208755],[73.81999876329446,18.66000017423062],[73.74999982887877,18.66000022062794],[73.74999982887877,18.519997776503974],[73.81999876329446,18.519997823208755]]]}"
00000000000000000006,308.7646340086085,0.025789508963485756,0.2958169899990783,-0.3563222987536136,Z7,"{""type"":""Polygon"",""coordinates"":[[[73.89000222534351,18.519997814315534],[73.89000222534351,18.660000162239793],[73.81999876329446,18.66000017423062],[73.81999876329446,18.519997823208755],[73.89000222534351,18.519997814315534]]]}"
00000000000000000007,310.00079457981883,0.04017668410943005,0.26898922192146474,-0.3517738684729727,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.519997794356673],[73.96000117000168,18.660000136769856],[73.89000222534351,18.660000162239793],[73.89000222534351,18.519997814315534],[73.96000117000168,18.519997794356673]]]}"
00000000000000000008,310.246263926735,0.015851750031599846,0.2903919865054048,-0.370657427331804,Z9,"{""type"":""Polygon"",""coordinates"":[[[74.03000019162782,18.519997767177724],[74.03000019162782,18.660000192304736],[73.96000117000168,18.660000136769856],[73.96000117000168,18.519997794356673],[74.03000019162782,18.519997767177724]]]}"
00000000000000000009,310.292400179723,-0.0218331779974674,0.33333239959141336,-0.40499139132109796,Z10,"{""type"":""Polygon"",""coordinates"":[[[74.09999912728529,18.519997760386637],[74.09999912728527,18.660000180639045],[74.03000019162782,18.660000192304736],[74.03000019162782,18.519997767177724],[74.09999912728529,18.519997760386637]]]}"
