system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,305.96772417719836,-0.03571271841089938,0.35918426544997106,-0.43745646592694204,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.59999947203729],[75.78000107475978,22.599999461359594],[75.78000107475978,22.799999004473595],[75.74000073040688,22.79999900433854],[75.70000036894523,22.79999903181466],[75.70000036894523,22.59999940950928],[75.74000073040688,22.59999947203729]]]}"
00000000000000000001,306.7161047468957,-0.012200179211130984,0.30008803505633924,-0.37828374551708216,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.599999484039053],[75.86000188481238,22.59999944486859],[75.86000188481238,22.79999904569321],[75.82000151171877,22.799999050004832],[75.78000107475978,22.799999004473595],[75.78000107475978,22.599999461359594],[75.82000151171877,22.599999484039053]]]}"
00000000000000000002,306.7723914945717,-0.030914710432255434,0.3109937489027386,-0.3810773084379419,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.89999999928615,22.599999422910066],[75.93999809268459,22.599999448644745],[75.93999809268459,22.799999063698277],[75.89999999928615,22.799999069259567],[75.86000188481238,22.79999904569321],[75.86000188481238,22.59999944486859],[75.89999999928615,22.599999422910066]]]}"
00000000000000000003,308.8211140282865,-0.027991508962771746,0.3539015153718441,-0.4360601490145238,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.599999468719574],[76.01999881427406,22.59999945735246],[76.01999881427406,22.799999049244505],[75.97999848846472,22.799999066099595],[75.93999809268459,22.799999063698277],[75.93999809268459,22.599999448644745],[75.97999848846472,22.599999468719574]]]}"
00000000000000000004,308.44113447011927,-0.04002334130335358,0.3688003739923099,-0.44081141225069836,Z5,"{""type"":""Polygon"",""coordinates"":[[[76.05999917897469,22.599999431832202],[76.09999960268559,22.599999401518794],[76.09999960268559,22.799999019405806],[76.05999917897469,22.79999903053909],[76.01999881427406,22.799999049244505],[76.01999881427406,22.59999945735246],[76.05999917897469,22.599999431832202]]]}"
00000000000000000005,306.9803017200744,-0.011563175757864226,0.33369233060921943,-0.4179236399975836,Z6,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.79999900433854],[75.78000107475978,22.799999004473595],[75.78000107475978,22.999998662414054],[75.74000073040688,22.99999860073009],[75.70000036894523,22.99999866757256],[75.70000036894523,22.79999903181466],[75.74000073040688,22.79999900433854]]]}"
00000000000000000006,306.0255055082052,-0.02510387225339342,0.35857569482595336,-0.4430515437323203,Z7,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.799999050004832],[75.86000188481238,22.79999904569321],[75.86000188481238,22.999998685380476],[75.82000151171877,22.999998603860046],[75.78000107475978,22.999998662414054],[75.78000107475978,22.799999004473595],[75.82000151171877,22.799999050004832]]]}"
00000000000000000007,307.48105087054824,-0.023990027966671067,0.3564113319088847,-0.4435459596011569,Z8,"{""type"":""Polygon"",""coordinates"":[[[75.89999999928615,22.799999069259567],[75.93999809268459,22.799999063698277],[75.93999809268459,22.99999864211597],[75.89999999928615,22.999998627730005],[75.86000188481238,22.999998685380476],[75.86000188481238,22.79999904569321],[75.89999999928615,22.799999069259567]]]}"
00000000000000000008,307.44613013917865,-0.03612900139027442,0.359334942196694,-0.43319024474763995,Z9,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.799999066099595],[76.01999881427406,22.799999049244505],[76.01999881427406,22.99999861841339],[75.97999848846472,22.99999867821334],[75.93999809268459,22.99999864211597],[75.93999809268459,22.799999063698277],[75.97999848846472,22.799999066099595]]]}"
00000000000000000009,308.22633641410926,-0.052715939738601815,0.35546657886545174,-0.43902938677243136,Z10,"{""type"":""Polygon"",""coordinates"":[[[76.05999917897469,22.79999903053909],[76.09999960268559,22.799999019405806],[76.09999960268559,22.99999862895455],[76.05999917897469,22.999998658140242],[76.01999881427406,22.99999861841339],[76.01999881427406,22.799999049244505],[76.05999917897469,22.79999903053909]]]}"
