system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,309.2022179016516,0.10197331417723164,0.23659087898408188,-0.37519055649593647,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.750000060724965],[75.6800012791375,26.750000077420548],[75.6800012791375,26.925001905275103],[75.64000097463702,26.925001993241022],[75.60000055547691,26.925001934441703],[75.60000055547691,26.75000005037915],[75.64000097463702,26.750000060724965]]]}"
00000000000000000001,306.7540486123327,0.0604282232882197,0.2662626151071874,-0.3708173033935006,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.750000041716017],[75.76000207327802,26.750000043347313],[75.76000207327802,26.925001994084802],[75.72000166787484,26.925001963559996],[75.6800012791375,26.925001905275103],[75.6800012791375,26.750000077420548],[75.72000166787484,26.750000041716017]]]}"
00000000000000000002,305.5692947105091,0.04104331136251269,0.25432861305304,-0.3295199036829346,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.750000034649915],[75.83999831919462,26.75000007748974],[75.83999831919462,26.92500197632252],[75.80000021058267,26.92500194801138],[75.76000207327802,26.925001994084802],[75.76000207327802,26.750000043347313],[75.80000021058267,26.750000034649915]]]}"
00000000000000000003,306.8629183945837,0.062080153659888324,0.2764981270187864,-0.3831895639726036,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.8799987245313,26.750000063605174],[75.91999905286957,26.750000112286052],[75.91999905286957,26.925001965444704],[75.8799987245313,26.925001972130218],[75.83999831919462,26.92500197632252],[75.83999831919462,26.75000007748974],[75.8799987245313,26.750000063605174]]]}"
00000000000000000004,307.5472850545038,0.07449622619164344,0.27031174211366915,-0.39656064599979085,Z5,"{""type"":""Polygon"",""coordinates"":[[[75.95999941345487,26.75000006712375],[75.99999973816823,26.750000105897836],[75.99999973816823,26.92500191752381],[75.95999941345487,26.925001975996636],[75.91999905286957,26.925001965444704],[75.91999905286957,26.750000112286052],[75.95999941345487,26.75000006712375]]]}"
00000000000000000005,306.7616167491324,0.05950280369113116,0.29981017373859975,-0.4244839772607647,Z6,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.925001993241022],[75.6800012791375,26.925001905275103],[75.6800012791375,27.09999938872015],[75.64000097463702,27.099999417013805],[75.60000055547691,27.099999409163363],[75.60000055547691,26.925001934441703],[75.64000097463702,26.925001993241022]]]}"
00000000000000000006,306.17604915783573,0.05402046626340867,0.2837070668474338,-0.392266929858039,Z7,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.925001963559996],[75.76000207327802,26.925001994084802],[75.76000207327802,27.09999940169848],[75.72000166787484,27.09999935374241],[75.6800012791375,27.09999938872015],[75.6800012791375,26.925001905275103],[75.72000166787484,26.925001963559996]]]}"
00000000000000000007,305.6651760194528,0.04988506956453712,0.29536917491545717,-0.39174796573263115,Z8,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.92500194801138],[75.83999831919462,26.92500197632252],[75.83999831919462,27.099999397257065],[75.80000021058267,27.099999394787204],[75.76000207327802,27.09999940169848],[75.76000207327802,26.925001994084802],[75.80000021058267,26.92500194801138]]]}"
00000000000000000008,305.47846610815196,0.041482109193235674,0.3367429363901861,-0.43087034409470526,Z9,"{""type"":""Polygon"",""coordinates"":[[[75.8799987245313,26.925001972130218],[75.91999905286957,26.925001965444704],[75.91999905286957,27.09999940610134],[75.8799987245313,27.09999939144116],[75.83999831919462,27.099999397257065],[75.83999831919462,26.92500197632252],[75.8799987245313,26.925001972130218]]]}"
00000000000000000009,306.23263066498623,0.06361744650455085,0.3005997482265508,-0.421053504617674,Z10,"{""type"":""Polygon"",""coordinates"":[[[75.95999941345487,26.925001975996636],[75.99999973816823,26.92500191752381],[75.99999973816823,27.099999382219767],[75.95999941345487,27.09999937315752],[75.91999905286957,27.09999940610134],[75.91999905286957,26.925001965444704],[75.95999941345487,26.925001975996636]]]}"
