system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,308.4164934056709,-0.12601821457774184,0.2865575464710446,-0.3393101963999392,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.70999919790215,21.099997938072764],[72.70999919790215,21.224999959558613],[72.6500020014233,21.22499993169516],[72.6500020014233,21.099997979343215],[72.70999919790215,21.099997938072764]]]}"
00000000000000000001,308.78406235862326,-0.06929653414695715,0.3813922576004939,-0.4272450073122325,Z2,"{""type"":""Polygon"",""coordinates"":[[[72.77000090351893,21.09999801072069],[72.77000090351893,21.224999989125063],[72.70999919790215,21.224999959558613],[72.70999919790215,21.099997938072764],[72.77000090351893,21.09999801072069]]]}"
00000000000000000002,309.2955598785936,-0.021714379730319876,0.28359767977295297,-0.33585413145132964,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.8299980714329,21.09999798865362],[72.8299980714329,21.224999983338723],[72.77000090351893,21.224999989125063],[72.77000090351893,21.09999801072069],[72.8299980714329,21.09999798865362]]]}"
00000000000000000003,310.16415423703387,0.0053594237673841244,0.25355845102644364,-0.31489749017950763,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.88999978021023,21.09999796748522],[72.88999978021023,21.224999954425822],[72.8299980714329,21.224999983338723],[72.8299980714329,21.09999798865362],[72.88999978021023,21.09999796748522]]]}"
00000000000000000004,308.1676812059019,-0.07965971278457819,0.46330359182032227,-0.4842460368264482,Z5,"{""type"":""Polygon"",""coordinates"":[[[72.95000140212463,21.099997936583172],[72.95000140212463,21.224999977631864],[72.88999978021023,21.224999954425822],[72.88999978021023,21.09999796748522],[72.95000140212463,21.099997936583172]]]}"
00000000000000000005,309.24393661465814,-0.03482862292326251,0.3533348575724915,-0.4174951827899692,Z6,"{""type"":""Polygon"",""coordinates"":[[[72.70999919790215,21.224999959558613],[72.70999919790215,21.350001928163426],[72.6500020014233,21.35000195419828],[72.6500020014233,21.22499993169516],[72.70999919790215,21.224999959558613]]]}"
00000000000000000006,308.44989093714605,-0.00428869444317654,0.34606471490667096,-0.4232662537580077,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.77000090351893,21.224999989125063],[72.77000090351893,21.350001967649206],[72.70999919790215,21.350001928163426],[72.70999919790215,21.224999959558613],[72.77000090351893,21.224999989125063]]]}"
00000000000000000007,308.0990216070467,-0.06403504445425111,0.41302252302182274,-0.44728595345413935,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.8299980714329,21.224999983338723],[72.8299980714329,21.350001943321374],[72.77000090351893,21.350001967649206],[72.77000090351893,21.224999989125063],[72.8299980714329,21.224999983338723]]]}"
00000000000000000008,308.02372942815504,-0.07927265610921438,0.4282492524212037,-0.455103447799925,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.88999978021023,21.224999954425822],[72.88999978021023,21.35000195998818],[72.8299980714329,21.350001943321374],[72.8299980714329,21.224999983338723],[72.88999978021023,21.224999954425822]]]}"
00000000000000000009,307.9255394992686,-0.0869471793903214,0.4388536182890968,-0.4622728751623631,Z10,"{""type"":""Polygon"",""coordinates"":[[[72.95000140212463,21.224999977631864],[72.95000140212463,21.35000191471254],[72.88999978021023,21.35000195998818],[72.88999978021023,21.224999954425822],[72.95000140212463,21.224999977631864]]]}"
