system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,tree_category,income_score,income_n,priority_score,water_ok
0,308.32280719060765,-0.0110590604952093,0.3815750630894121,-0.4392132500337003,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.849998955557247],[72.50999966230029,22.9750009566224],[72.4499979166911,22.975000944488663],[72.4499979166911,22.849998953446608],[72.50999966230029,22.849998955557247]]]}",ahmedabad_features,0.7092393725738784,0.8165860368106469,0.6579117649691408,0.19262694152793414,Medium,0.3745401188473625,0.6254598811526375,0.5958907442536034,False
1,309.02311959521137,0.0116270345039886,0.3388619120726114,-0.4096086169992204,Z2,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.849998904506524],[72.5700012861179,22.975000890432323],[72.50999966230029,22.9750009566224],[72.50999966230029,22.849998955557247],[72.5700012861179,22.849998904506524]]]}",ahmedabad_features,0.6299580178412433,0.8403101597948153,0.7265703791096273,0.2374730809071603,Medium,0.9507143064099162,0.049285693590083834,0.5161855220900756,False
2,308.4811333765406,0.0338294713832342,0.2967403502032867,-0.3825904476308337,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.84999897218958],[72.62999852068243,22.975000915825813],[72.5700012861179,22.975000890432323],[72.5700012861179,22.849998904506524],[72.62999852068243,22.84999897218958]]]}",ahmedabad_features,0.5517747321562084,0.8219495715445672,0.7937652201223501,0.2784011541535002,Medium,0.7319939418114051,0.2680060581885949,0.5847808524800008,True
3,309.2158214348365,0.022591700003123,0.3463201819076036,-0.427139769944899,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.849998950436937],[72.69000018224327,22.975000917003428],[72.62999852068243,22.975000915825813],[72.62999852068243,22.84999897218958],[72.69000018224327,22.849998950436937]]]}",ahmedabad_features,0.643801570058853,0.8468382208608329,0.7597545272722437,0.21091627381670397,Medium,0.5986584841970366,0.4013415158029634,0.5917089390673111,False
4,308.6029440574118,0.0049448653982769,0.4016187104800897,-0.472118325974771,Z5,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.849998900437992],[72.75000182107684,22.975000953142285],[72.69000018224327,22.975000917003428],[72.69000018224327,22.849998950436937],[72.75000182107684,22.849998900437992]]]}",ahmedabad_features,0.7464430787179444,0.8260760893026079,0.706347045377367,0.14278117515013106,High,0.15601864044243652,0.8439813595575635,0.6430563099133734,False
5,310.0048958948339,0.0015787481154893,0.3418101214496919,-0.4088934194261397,Z6,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.9750009566224],[72.50999966230029,23.099998482302798],[72.4499979166911,23.09999840068322],[72.4499979166911,22.975000944488663],[72.50999966230029,22.9750009566224]]]}",ahmedabad_features,0.63543029108464,0.8735692903229497,0.6961596178946421,0.2385564873458993,Medium,0.15599452033620265,0.8440054796637974,0.6771326251377113,False
6,309.6695849079288,0.0110130209072842,0.2220059231418535,-0.2836578433046117,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.975000890432323],[72.5700012861179,23.099998460587155],[72.50999966230029,23.099998482302798],[72.50999966230029,22.9750009566224],[72.5700012861179,22.975000890432323]]]}",ahmedabad_features,0.413057581078612,0.8622101325542386,0.724712090029262,0.428267742859268,Medium,0.05808361216819946,0.9419163878318005,0.7458985755997987,True
7,310.36789493205123,0.0163115857527799,0.2077516715137739,-0.2630439312532582,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.975000915825813],[72.62999852068243,23.099998415558492],[72.5700012861179,23.099998460587155],[72.5700012861179,22.975000890432323],[72.62999852068243,22.975000915825813]]]}",ahmedabad_features,0.38659977235058096,0.8858664219251687,0.7407479974535277,0.4594944218702665,Medium,0.8661761457749352,0.13382385422506482,0.5974142020521334,True
8,311.0797750483787,0.0393614334151649,0.2169251116956454,-0.2991802751398791,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.975000917003428],[72.69000018224327,23.09999841161949],[72.62999852068243,23.099998415558492],[72.62999852068243,22.975000915825813],[72.69000018224327,22.975000917003428]]]}",ahmedabad_features,0.4036269114837134,0.9099824183272219,0.8105074953620323,0.4047538171579029,Medium,0.6011150117432088,0.3988849882567912,0.6672852713765643,True
9,310.0453534585503,-0.0006668109285667,0.3994858618498547,-0.4730385354085435,Z10,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.975000953142285],[72.75000182107684,23.099998417998364],[72.69000018224327,23.09999841161949],[72.69000018224327,22.975000917003428],[72.75000182107684,22.975000953142285]]]}",ahmedabad_features,0.7424842247158557,0.8749398503914826,0.6893635178192007,0.14138720953410813,Medium,0.7080725777960455,0.2919274222039545,0.5436409863433741,False
